"species","X","Y"
"Eucalyptus camaldulensis",141.0843,-37.0633
"Eucalyptus camaldulensis",145.08028,-37.6525
"Eucalyptus camaldulensis",145.65951,-36.78684
"Eucalyptus camaldulensis",143.41195,-37.84344
"Eucalyptus camaldulensis",145.0595,-36.1648
"Eucalyptus camaldulensis",144.89749,-37.55883
"Eucalyptus camaldulensis",145.10528,-37.57944
"Eucalyptus camaldulensis",141.28333,-37.83333
"Eucalyptus camaldulensis",142.35947,-34.76031
"Eucalyptus camaldulensis",146.93611,-36.09972
"Eucalyptus camaldulensis",141.33309,-36.8487
"Eucalyptus camaldulensis",144.3339,-36.4944
"Eucalyptus camaldulensis",141.39609,-37.34942
"Eucalyptus camaldulensis",142.35266,-34.75981
"Eucalyptus camaldulensis",142.75874,-37.1971
"Eucalyptus camaldulensis",144.91367,-36.85459
"Eucalyptus camaldulensis",144.85056,-37.54306
"Eucalyptus camaldulensis",142.1376,-37.3381
"Eucalyptus camaldulensis",143.5506,-37.16481
"Eucalyptus camaldulensis",145.42221,-36.97174
"Eucalyptus camaldulensis",143.291,-37.82688
"Eucalyptus camaldulensis",145.50786,-36.87694
"Eucalyptus camaldulensis",142.39342,-34.74934
"Eucalyptus camaldulensis",141.71745,-37.05737
"Eucalyptus camaldulensis",143.32107,-36.98832
"Eucalyptus camaldulensis",144.97917,-37.83194
"Eucalyptus camaldulensis",142.65942,-37.06217
"Eucalyptus camaldulensis",145.8317,-36.63214
"Eucalyptus camaldulensis",141.28333,-37.81667
"Eucalyptus camaldulensis",141.18611,-37.25056
"Eucalyptus camaldulensis",143.20438,-37.35648
"Eucalyptus camaldulensis",144.8942,-35.98245
"Eucalyptus camaldulensis",144.10764,-38.0297
"Eucalyptus camaldulensis",143.31195,-36.91535
"Eucalyptus camaldulensis",145.03472,-36.07889
"Eucalyptus camaldulensis",145.12528,-37.56222
"Eucalyptus camaldulensis",143.28933,-37.41416
"Eucalyptus camaldulensis",144.0178,-38.00421
"Eucalyptus camaldulensis",145.22574,-36.68745
"Eucalyptus camaldulensis",145.14917,-38.00889
"Eucalyptus camaldulensis",143.05101,-37.32884
"Eucalyptus camaldulensis",145.3678,-36.3409
"Eucalyptus camaldulensis",145.08639,-37.61194
"Eucalyptus camaldulensis",144.24333,-35.71972
"Eucalyptus camaldulensis",142.77544,-37.32473
"Eucalyptus camaldulensis",143.43337,-37.13828
"Eucalyptus camaldulensis",141.50326,-36.87596
"Eucalyptus camaldulensis",145.14375,-36.92347
"Eucalyptus camaldulensis",144.99667,-37.785
"Eucalyptus camaldulensis",145.60417,-36.5775
"Eucalyptus camaldulensis",143.41127,-37.84241
"Eucalyptus camaldulensis",144.0083,-38.05394
"Eucalyptus camaldulensis",141.5276,-37.4356
"Eucalyptus camaldulensis",143.53352,-37.05241
"Eucalyptus camaldulensis",143.30208,-34.78595
"Eucalyptus camaldulensis",141.34523,-37.401
"Eucalyptus camaldulensis",125.383333,-16.716667
"Eucalyptus camaldulensis",147.401389,-33.636111
"Eucalyptus camaldulensis",144.399471,-35.809331
"Eucalyptus camaldulensis",144.185881,-34.456141
"Eucalyptus camaldulensis",144.909389,-35.794917
"Eucalyptus camaldulensis",149.293373,-30.312193
"Eucalyptus camaldulensis",151.005328,-32.507709
"Eucalyptus camaldulensis",144.987775,-35.787623
"Eucalyptus camaldulensis",145.143595,-35.818139
"Eucalyptus camaldulensis",147.723392,-33.396881
"Eucalyptus camaldulensis",150.991716,-32.514825
"Eucalyptus camaldulensis",145.10745,-35.807713
"Eucalyptus camaldulensis",145.678332,-35.915744
"Eucalyptus camaldulensis",150.863158,-32.172488
"Eucalyptus camaldulensis",148.261658,-35.317761
"Eucalyptus camaldulensis",146.37002,-34.626707
"Eucalyptus camaldulensis",146.323151,-34.629739
"Eucalyptus camaldulensis",146.455307,-34.701848
"Eucalyptus camaldulensis",145.044583,-35.912222
"Eucalyptus camaldulensis",145.144129,-35.818499
"Eucalyptus camaldulensis",142.310408,-31.23165
"Eucalyptus camaldulensis",149.128368,-34.837066
"Eucalyptus camaldulensis",145.12283,-35.806891
"Eucalyptus camaldulensis",151.019715,-32.497792
"Eucalyptus camaldulensis",148.447016,-31.889118
"Eucalyptus camaldulensis",149.295187,-30.483631
"Eucalyptus camaldulensis",146.257427,-36.004694
"Eucalyptus camaldulensis",147.810658,-33.482071
"Eucalyptus camaldulensis",145.028611,-35.855083
"Eucalyptus camaldulensis",144.9895,-35.879
"Eucalyptus camaldulensis",144.960472,-35.8345
"Eucalyptus camaldulensis",144.938485,-36.013604
"Eucalyptus camaldulensis",144.994556,-35.937639
"Eucalyptus camaldulensis",145.685572,-35.922719
"Eucalyptus camaldulensis",148.084537,-33.748443
