"species","decimalLatitude","decimalLongitude"
"Eucalyptus saligna",-28.963345,152.325751
"Eucalyptus saligna",-33.711984,150.943918
"Eucalyptus saligna",-33.403977,151.37311
"Eucalyptus saligna",-33.724809,150.9823
"Eucalyptus saligna",-33.730421,151.131706
"Eucalyptus saligna",-32.115317,151.49202
"Eucalyptus saligna",-35.381765,150.251187
"Eucalyptus saligna",-34.089313,150.822596
"Eucalyptus saligna",-31.504955,152.739215
"Eucalyptus saligna",-33.844082,151.238722
"Eucalyptus saligna",-33.37717,151.44115
"Eucalyptus saligna",-32.139054,151.355562
"Eucalyptus saligna",-31.241624,151.873979
"Eucalyptus saligna",-34.83924,150.58737
"Eucalyptus saligna",-33.448937,151.373814
"Eucalyptus saligna",-30.802366,152.233001
"Eucalyptus saligna",-32.128349,152.02883
"Eucalyptus saligna",-33.386521,151.380031
"Eucalyptus saligna",-30.919306,152.293388
"Eucalyptus saligna",-30.391553,152.984688
"Eucalyptus saligna",-28.495586,153.443151
"Eucalyptus saligna",-29.312599,152.404876
"Eucalyptus saligna",-29.675644,152.076642
"Eucalyptus saligna",-28.514833,152.565713
"Eucalyptus saligna",-31.674746,152.656073
"Eucalyptus saligna",-30.221225,152.831697
"Eucalyptus saligna",-33.79188,151.148138
"Eucalyptus saligna",-33.436321,150.602035
"Eucalyptus saligna",-32.102034,151.300106
"Eucalyptus saligna",-29.192283,152.455915
"Eucalyptus saligna",-32.3507,152.449
"Eucalyptus saligna",-33.912606,151.034377
"Eucalyptus saligna",-33.781488,151.088567
"Eucalyptus saligna",-30.203551,152.200056
"Eucalyptus saligna",-33.826746,151.16641
"Eucalyptus saligna",-33.8,150.7
"Eucalyptus saligna",-28.910046,153.346548
"Eucalyptus saligna",-33.421361,151.351008
"Eucalyptus saligna",-30.190233,152.998514
"Eucalyptus saligna",-33.787136,151.108862
"Eucalyptus saligna",-28.28175,152.634408
"Eucalyptus saligna",-28.489847,152.40133
"Eucalyptus saligna",-31.211027,151.892271
"Eucalyptus saligna",-33.760833,151.035985
"Eucalyptus saligna",-35.633459,150.253218
"Eucalyptus saligna",-30.860895,151.892383
"Eucalyptus saligna",-33.4118,151.408953
"Eucalyptus saligna",-30.094817,152.129846
"Eucalyptus saligna",-33.374825,151.382183
"Eucalyptus saligna",-33.270666,151.358799
"Eucalyptus saligna",-33.870061,150.830241
"Eucalyptus saligna",-32.380517,151.430762
"Eucalyptus saligna",-33.295507,151.128804
"Eucalyptus saligna",-30.871664,152.203202
"Eucalyptus saligna",-33.89927,151.087773
"Eucalyptus saligna",-32.927232,151.67373
"Eucalyptus saligna",-29.851924,152.220754
"Eucalyptus saligna",-33.819501,151.158006
"Eucalyptus saligna",-32.147953,151.816261
"Eucalyptus saligna",-31.027291,152.554736
"Eucalyptus saligna",-35.240089,150.458939
"Eucalyptus saligna",-28.361681,153.21219
"Eucalyptus saligna",-33.757576,151.061987
"Eucalyptus saligna",-33.343348,151.368883
"Eucalyptus saligna",-33.304653,151.432463
"Eucalyptus saligna",-28.677281,152.630087
"Eucalyptus saligna",-31.266656,152.364277
"Eucalyptus saligna",-32.003129,152.373381
"Eucalyptus saligna",-33.652943,151.091247
"Eucalyptus saligna",-33.445675,151.428698
"Eucalyptus saligna",-33.94965,151.15556
"Eucalyptus saligna",-33.819272,151.157431
"Eucalyptus saligna",-29.609074,152.458028
"Eucalyptus saligna",-30.007459,152.511664
"Eucalyptus saligna",-31.402362,151.881833
"Eucalyptus saligna",-33.765797,151.097625
"Eucalyptus saligna",-30.272769,153.027069
"Eucalyptus saligna",-33.368121,151.418565
"Eucalyptus saligna",-30.655816,152.649335
"Eucalyptus saligna",-31.635232,152.539798
